"DB","Lange","Hohe","Name","Kommentar"
"79","9.18833135","48.89561436","Freitag, den 01.02.2019 um 13:01 Uhr",NULL
"56","9.18832737","48.89561827","Freitag, den 01.02.2019 um 13:01 Uhr",NULL
"66","9.18831535","48.89564774","Freitag, den 01.02.2019 um 13:01 Uhr",NULL
"59","9.18818275","48.89602956","Freitag, den 01.02.2019 um 13:01 Uhr",NULL
"50","9.1882555","48.89600405","Freitag, den 01.02.2019 um 13:01 Uhr",NULL
"69","9.1889854","48.89608568","Freitag, den 01.02.2019 um 13:02 Uhr",NULL
"56","9.18871941","48.89606156","Freitag, den 01.02.2019 um 13:02 Uhr",NULL
"60","9.19184153","48.89610737","Freitag, den 01.02.2019 um 13:02 Uhr",NULL
"69","9.19263896","48.89619339","Freitag, den 01.02.2019 um 13:02 Uhr",NULL
"62","9.19264281","48.89619893","Freitag, den 01.02.2019 um 13:03 Uhr",NULL
"62","9.19281405","48.89616659","Freitag, den 01.02.2019 um 13:03 Uhr",NULL
"69","9.19401472","48.89613819","Freitag, den 01.02.2019 um 13:03 Uhr",NULL
"67","9.19689683","48.89629068","Freitag, den 01.02.2019 um 13:03 Uhr",NULL
"45","9.19864621","48.89604804","Freitag, den 01.02.2019 um 13:03 Uhr",NULL
"67","9.19986093","48.8961256","Freitag, den 01.02.2019 um 13:04 Uhr",NULL
"52","9.20130398","48.89614026","Freitag, den 01.02.2019 um 13:04 Uhr",NULL
"51","9.20296962","48.8960034","Freitag, den 01.02.2019 um 13:04 Uhr",NULL
"55","9.20295857","48.89595152","Freitag, den 01.02.2019 um 13:04 Uhr",NULL
"78","9.20316708","48.89599222","Freitag, den 01.02.2019 um 13:05 Uhr",NULL
"57","9.20481379","48.89594981","Freitag, den 01.02.2019 um 13:05 Uhr",NULL
"71","9.19227693","48.89618834","Mittwoch, den 06.02.2019 um 05:53 Uhr",NULL
"60","9.19227656","48.89618591","Mittwoch, den 06.02.2019 um 05:53 Uhr",NULL
"65","9.19228591","48.89618333","Mittwoch, den 06.02.2019 um 05:53 Uhr",NULL
"76","9.19228661","48.89618809","Mittwoch, den 06.02.2019 um 05:53 Uhr",NULL
"73","9.19228865","48.89619064","Mittwoch, den 06.02.2019 um 05:54 Uhr",NULL
"50","9.19253482","48.89622413","Mittwoch, den 06.02.2019 um 05:54 Uhr",NULL
"47","9.19254327","48.89627219","Mittwoch, den 06.02.2019 um 05:54 Uhr",NULL
"66","9.19275884","48.89623834","Mittwoch, den 06.02.2019 um 05:54 Uhr",NULL
"55","9.19270658","48.89624292","Mittwoch, den 06.02.2019 um 05:54 Uhr",NULL
"49","9.094785","48.8978916666667","Donnerstag, den 07.02.2019 um 20:46 Uhr",NULL
"76","9.19231819","48.89642067","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"76","9.1923947","48.89611712","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"60","9.19236798","48.89614862","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"52","9.19236779","48.89615015","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"52","9.19237546","48.89613066","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"60","9.19238684","48.89609316","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"76","9.19238881","48.89609155","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"58","9.19239171","48.89608965","Dienstag, den 12.02.2019 um 16:23 Uhr",NULL
"76","9.19239517","48.89609285","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"58","9.19239474","48.89609127","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"62","9.19239506","48.89609109","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"59","9.19331398","48.89605946","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"76","9.19417428","48.89610761","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"56","9.1959393","48.89618444","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"49","9.19674126","48.89617707","Dienstag, den 12.02.2019 um 16:24 Uhr",NULL
"43","9.19667382","48.89619652","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"59","9.19693657","48.89615597","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"65","9.1971513","48.89614572","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"65","9.19977967","48.89614305","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"54","9.19988545","48.89612522","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"58","9.20006894","48.8960722","Dienstag, den 12.02.2019 um 16:25 Uhr",NULL
"60","9.20132294","48.89611881","Dienstag, den 12.02.2019 um 16:26 Uhr",NULL
"72","9.20167316","48.89610293","Dienstag, den 12.02.2019 um 16:26 Uhr",NULL
"76","9.20299991","48.89604989","Dienstag, den 12.02.2019 um 16:26 Uhr",NULL
"42","9.20309163","48.89597473","Dienstag, den 12.02.2019 um 16:26 Uhr",NULL
"56","9.20314464","48.8959689","Dienstag, den 12.02.2019 um 16:26 Uhr",NULL
"55","9.20314729","48.89596856","Dienstag, den 12.02.2019 um 16:27 Uhr",NULL
"53","9.2038698","48.89608854","Dienstag, den 12.02.2019 um 16:27 Uhr",NULL
"21","9.05345812936475","48.9331131150504","Freitag, den 15.02.2019 um 18:57 Uhr",
"42","9.05383064435905","48.9332092638498","Freitag, den 15.02.2019 um 20:08 Uhr",
"32","9.05382786985192","48.9334137783856","Freitag, den 15.02.2019 um 20:08 Uhr",
"40","9.05384331553849","48.93378172595","Freitag, den 15.02.2019 um 20:08 Uhr",
"42","9.05382357092641","48.9339199893142","Freitag, den 15.02.2019 um 20:08 Uhr",
"32","9.05379112255602","48.9345430435937","Freitag, den 15.02.2019 um 20:09 Uhr",
"41","9.05378313080308","48.9347788966479","Freitag, den 15.02.2019 um 20:10 Uhr",
"25","9.05365155784347","48.9352205805135","Freitag, den 15.02.2019 um 20:11 Uhr",
"46","9.0534238841041","48.93556707916","Freitag, den 15.02.2019 um 20:12 Uhr",
"53","9.05324329695851","48.9357475384865","Freitag, den 15.02.2019 um 20:12 Uhr",
"60","9.05265612187466","48.9362564643772","Freitag, den 15.02.2019 um 20:13 Uhr",
"56","9.05284154503167","48.9375118501676","Freitag, den 15.02.2019 um 20:15 Uhr",
"60","9.05298143726975","48.9375766670194","Freitag, den 15.02.2019 um 20:16 Uhr",
